percentile,alpha,beta,n,r2
82,0.04444549183038753,1.046468534950837,88,0.8707807323761769
83,0.06053565892992129,1.0408124309464784,88,0.868240600342859
84,0.08018934270341448,1.0342278463571362,88,0.8657121027770659
85,0.1080098563203394,1.0256466298570448,88,0.8650102762929474
86,0.12349527541840212,1.0209956846193364,88,0.8660255381890569
87,0.1430663197346728,1.0147539198708657,88,0.8653905498079186
88,0.16892910765096397,1.0066454005262482,88,0.8628855312248473
89,0.18529171678911244,1.001692920177631,88,0.8611401133180497
90,0.21663518894545625,0.9925612527404403,88,0.8609615604279031
91,0.24723799910227465,0.984153561290901,88,0.8592121933999662
92,0.2825201611841,0.9746851279633871,88,0.8576161126635278
93,0.34851215262502333,0.9560989178126645,88,0.8552572266741096
94,0.41177375230994057,0.9388770232379231,88,0.8546621224290714
95,0.46122835685426433,0.9252189466590175,88,0.8485714368689439
96,0.543011667541321,0.9035989236911545,88,0.8429976226299278
97,0.6631560135472045,0.8739593308250444,88,0.8332988704950055
98,0.7657499802483732,0.8508580778476836,88,0.8288097761514318
99,0.9805778131898678,0.8051070244364659,88,0.8100914490976963
100,1.5319637846104266,0.7131387408456583,88,0.7142347359827346
