country,year,nninc_lcu_per_capita,population
KG,2023,191648.4,7073516
KH,2023,9004518.0,17423880
KI,2023,4684.8,132530
KM,2023,707991.3,850387
KN,2023,58731.3,46758
KP,2023,57209.9,26418204
KR,2023,37813788.0,51748739
KS,2023,5472.200000000001,1700031
KW,2023,11140.9,4838782
KY,2023,141387.2,73038
KZ,2023,5422729.5,20330104
LA,2023,36019572.0,7664993
LB,2023,661332736.0,5773493
LC,2023,29482.2,179285
LI,2023,191632.6,39598
LK,2023,1179559.4,22971617
LR,2023,799.5,5493031
LS,2023,22829.3,2311472
LT,2023,23300.0,2854099
LU,2023,187579.5,665098
LV,2023,16420.3,1882396
LY,2023,26903.6,7305659
MA,2023,38649.1,37712505
MC,2023,145762.3,38956
MD,2023,97499.1,3067070
ME,2023,10848.6,633552
MG,2023,2361392.0,31195932
MH,2023,7048.3,38827
MK,2023,407374.7,1831802
ML,2023,591625.9,23769127
MM,2023,2658568.0,54133798
MN,2023,18438728.0,3431932
MO,2023,467721.8,713912
MR,2023,77855.8,5022441
MS,2023,44449.9,4420
MT,2023,33356.6,532956
MU,2023,820297.4,1273588
MV,2023,158908.4,525994
MW,2023,1076919.6,21104482
MX,2023,213068.6,129739759
MY,2023,43256.9,35126298
MZ,2023,33241.7,33635160
NC,2023,3555238.0,289870
NE,2023,339471.5,26159867
NG,2023,1617391.6,227882945
NI,2023,99080.70000000001,6823613
NL,2023,55391.2,18092524
NO,2023,914605.5,5519167
NP,2023,183313.9,29694614
NR,2023,24405.1,11875
NZ,2023,73673.3,5172836
OM,2023,6640.400000000001,5049269
PA,2023,16689.8,4458759
PE,2023,28476.3,33845617
PF,2023,2377489.8,281118
PG,2023,10420.8,10389635
PH,2023,199507.6,114891199
PK,2023,443312.9,247504495
PL,2023,79003.0,38762844
PR,2023,30370.3,3242023
PS,2023,4706.900000000001,5409202
PT,2023,22502.6,10430738
PW,2023,13273.3,17727
PY,2023,42871524.0,6844146
QA,2023,211452.7,2979082
RO,2023,84599.70000000001,19118479
RS,2023,1146951.3,6773201
RU,2023,1184171.4,145440500
RW,2023,1302097.9,13954471
SA,2023,122181.8,33264292
SB,2023,15208.1,800005
SC,2023,211371.0,127951
SD,2023,1844810.8,50042791
SE,2023,545817.9,10551494
SG,2023,114619.1,5789090
SI,2023,26086.5,2118396
SK,2023,19309.3,5518055
SL,2023,17294.9,8460512
SM,2023,41296.5,33733
SN,2023,982677.4,18077573
SO,2023,14663627.0,18358615
SR,2023,226823.2,628886
SS,2023,3986887.5,11483374
ST,2023,91941.3,230871
SV,2023,4891.900000000001,6309624
SX,2023,58185.4,42749
SY,2023,10841625.0,23594623
SZ,2023,61725.60000000001,1230506
TC,2023,33442.7,46198
TD,2023,547924.1,19319064
TG,2023,553540.9,9304337
TH,2023,198649.6,71702435
TJ,2023,15135.9,10389799
TL,2023,1515.1,1384286
TM,2023,33042.5,7364438
TN,2023,12128.5,12200431
TO,2023,14873.7,104597
TR,2023,565783.1,87270501
TT,2023,103035.7,1502932
TV,2023,11931.5,9816
TW,2023,968534.0,23317145
TZ,2023,2541083.0,66617606
UA,2023,203082.6,37732836
UG,2023,3762779.5,48656601
US,2023,71410.40000000001,343477335
UY,2023,859971.9,3388081
UZ,2023,32984938.0,35652307
VC,2023,25110.1,101323
VE,2023,194214.6,28300854
VG,2023,50313.0,38985
VN,2023,90700584.0,100352192
VU,2023,428685.9,320409
WS,2023,13723.6,216663
YE,2023,205595.9,39390799
ZA,2023,101726.6,63212384
ZM,2023,27444.3,20723965
ZW,2023,2499.9,16340822
